day = date of observation for earth crossing (decimal days)
Be = sub-earth latitude on ring plane (= 0 at RPX)
delta2 = Saturn-earth distance (au)
owlt = one way light time, Saturn-earth (days)

day = date of observation for sun crossing
Bs = sub-solar latitude on ring plane (= 0 at solar RPX)
delta1 = Sun-Saturn distance
twlt = two-way light time, sun-Saturn-earth (days)
phase = sun-Saturn-earth phase angle (deg).

The two 'day' columns are because of the differing treatment
of light time in the two cases. The two sets of entries could
be re-interpolated to a common time scale. Note that they differ
by exactly twlt.
------------------------------------------------------------------------
 Rpx2000.out: 1995 August         
   Pole: French etal 1993    

  JD 2449938.5: RA =  40.58644 DEC =  83.53717 (J2000)
    (includes pole offset =    0.00   0.00 arcsec)

    day       Be    delta2   owlt    day       Bs    delta1   twlt phase

  9.00000 -0.05205  8.7996 0.0508  9.10638  1.52011  9.6195 0.1064 3.715
  9.04167 -0.05091  8.7991 0.0508  9.14805  1.51950  9.6195 0.1064 3.711
  9.08333 -0.04977  8.7987 0.0508  9.18970  1.51888  9.6195 0.1064 3.708
  9.12500 -0.04863  8.7983 0.0508  9.23137  1.51827  9.6195 0.1064 3.704
  9.16667 -0.04749  8.7979 0.0508  9.27304  1.51765  9.6195 0.1064 3.701
  9.20833 -0.04635  8.7974 0.0508  9.31470  1.51703  9.6195 0.1064 3.697
  9.25000 -0.04520  8.7970 0.0508  9.35636  1.51642  9.6194 0.1064 3.694
  9.29167 -0.04406  8.7966 0.0508  9.39803  1.51580  9.6194 0.1064 3.690
  9.33333 -0.04291  8.7962 0.0508  9.43969  1.51519  9.6194 0.1064 3.687
  9.37500 -0.04177  8.7958 0.0508  9.48136  1.51457  9.6194 0.1064 3.683
  9.41667 -0.04062  8.7953 0.0508  9.52302  1.51396  9.6194 0.1064 3.680
  9.45833 -0.03947  8.7949 0.0508  9.56468  1.51334  9.6194 0.1064 3.676
  9.50000 -0.03832  8.7945 0.0508  9.60635  1.51273  9.6194 0.1063 3.672
  9.54167 -0.03717  8.7941 0.0508  9.64802  1.51211  9.6194 0.1063 3.669
  9.58333 -0.03602  8.7936 0.0508  9.68967  1.51150  9.6193 0.1063 3.665
  9.62500 -0.03487  8.7932 0.0508  9.73134  1.51088  9.6193 0.1063 3.662
  9.66667 -0.03372  8.7928 0.0508  9.77301  1.51027  9.6193 0.1063 3.658
  9.70833 -0.03256  8.7924 0.0508  9.81467  1.50965  9.6193 0.1063 3.655
  9.75000 -0.03141  8.7920 0.0508  9.85633  1.50904  9.6193 0.1063 3.651
  9.79167 -0.03025  8.7916 0.0508  9.89800  1.50842  9.6193 0.1063 3.648
  9.83333 -0.02910  8.7911 0.0508  9.93966  1.50781  9.6193 0.1063 3.644
  9.87500 -0.02794  8.7907 0.0508  9.98133  1.50719  9.6193 0.1063 3.640
  9.91667 -0.02678  8.7903 0.0508 10.02299  1.50657  9.6193 0.1063 3.637
  9.95833 -0.02562  8.7899 0.0508 10.06465  1.50596  9.6192 0.1063 3.633
 10.00000 -0.02446  8.7895 0.0508 10.10632  1.50534  9.6192 0.1063 3.630
 10.04167 -0.02330  8.7891 0.0508 10.14799  1.50473  9.6192 0.1063 3.626
 10.08333 -0.02214  8.7886 0.0508 10.18964  1.50411  9.6192 0.1063 3.623
 10.12500 -0.02097  8.7882 0.0508 10.23131  1.50350  9.6192 0.1063 3.619
 10.16667 -0.01981  8.7878 0.0508 10.27298  1.50288  9.6192 0.1063 3.615
 10.20833 -0.01864  8.7874 0.0508 10.31464  1.50227  9.6192 0.1063 3.612
 10.25000 -0.01748  8.7870 0.0507 10.35631  1.50165  9.6192 0.1063 3.608
 10.29167 -0.01631  8.7866 0.0507 10.39797  1.50104  9.6191 0.1063 3.605
 10.33333 -0.01514  8.7862 0.0507 10.43963  1.50042  9.6191 0.1063 3.601
 10.37500 -0.01397  8.7857 0.0507 10.48130  1.49981  9.6191 0.1063 3.598
 10.41667 -0.01281  8.7853 0.0507 10.52297  1.49919  9.6191 0.1063 3.594
 10.45833 -0.01163  8.7849 0.0507 10.56462  1.49858  9.6191 0.1063 3.590
 10.50000 -0.01046  8.7845 0.0507 10.60629  1.49796  9.6191 0.1063 3.587
 10.54167 -0.00929  8.7841 0.0507 10.64796  1.49734  9.6191 0.1063 3.583
 10.58333 -0.00812  8.7837 0.0507 10.68962  1.49673  9.6191 0.1063 3.580
 10.62500 -0.00694  8.7833 0.0507 10.73128  1.49611  9.6190 0.1063 3.576
 10.66667 -0.00577  8.7829 0.0507 10.77295  1.49550  9.6190 0.1063 3.572
 10.70833 -0.00459  8.7825 0.0507 10.81461  1.49488  9.6190 0.1063 3.569
 10.75000 -0.00341  8.7821 0.0507 10.85628  1.49427  9.6190 0.1063 3.565
 10.79167 -0.00224  8.7817 0.0507 10.89794  1.49365  9.6190 0.1063 3.562
 10.83333 -0.00106  8.7812 0.0507 10.93960  1.49304  9.6190 0.1063 3.558
 10.87500  0.00012  8.7808 0.0507 10.98127  1.49242  9.6190 0.1063 3.554
 10.91667  0.00130  8.7804 0.0507 11.02294  1.49181  9.6190 0.1063 3.551
 10.95833  0.00248  8.7800 0.0507 11.06459  1.49119  9.6190 0.1063 3.547
 11.00000  0.00367  8.7796 0.0507 11.10626  1.49058  9.6189 0.1063 3.543
 11.04167  0.00485  8.7792 0.0507 11.14793  1.48996  9.6189 0.1063 3.540
 11.08333  0.00603  8.7788 0.0507 11.18959  1.48935  9.6189 0.1063 3.536
 11.12500  0.00722  8.7784 0.0507 11.23125  1.48873  9.6189 0.1063 3.533
 11.16667  0.00841  8.7780 0.0507 11.27292  1.48811  9.6189 0.1063 3.529
 11.20833  0.00959  8.7776 0.0507 11.31458  1.48750  9.6189 0.1062 3.525
 11.25000  0.01078  8.7772 0.0507 11.35625  1.48688  9.6189 0.1062 3.522
 11.29167  0.01197  8.7768 0.0507 11.39791  1.48627  9.6189 0.1062 3.518
 11.33333  0.01316  8.7764 0.0507 11.43957  1.48565  9.6188 0.1062 3.514
 11.37500  0.01435  8.7760 0.0507 11.48124  1.48504  9.6188 0.1062 3.511
 11.41667  0.01554  8.7756 0.0507 11.52291  1.48442  9.6188 0.1062 3.507
 11.45833  0.01673  8.7752 0.0507 11.56456  1.48381  9.6188 0.1062 3.504
 11.50000  0.01793  8.7748 0.0507 11.60623  1.48319  9.6188 0.1062 3.500
 11.54167  0.01912  8.7744 0.0507 11.64790  1.48258  9.6188 0.1062 3.496
 11.58333  0.02032  8.7740 0.0507 11.68956  1.48196  9.6188 0.1062 3.493
 11.62500  0.02151  8.7736 0.0507 11.73123  1.48135  9.6188 0.1062 3.489
 11.66667  0.02271  8.7732 0.0507 11.77289  1.48073  9.6187 0.1062 3.485
 11.70833  0.02391  8.7728 0.0507 11.81455  1.48011  9.6187 0.1062 3.482
 11.75000  0.02511  8.7724 0.0507 11.85622  1.47950  9.6187 0.1062 3.478
 11.79167  0.02630  8.7720 0.0507 11.89789  1.47888  9.6187 0.1062 3.474
 11.83333  0.02751  8.7716 0.0507 11.93954  1.47827  9.6187 0.1062 3.471
 11.87500  0.02871  8.7712 0.0507 11.98121  1.47765  9.6187 0.1062 3.467
 11.91667  0.02991  8.7708 0.0507 12.02288  1.47704  9.6187 0.1062 3.463
 11.95833  0.03111  8.7704 0.0507 12.06454  1.47642  9.6187 0.1062 3.460
 12.00000  0.03232  8.7700 0.0507 12.10620  1.47581  9.6187 0.1062 3.456
 12.04167  0.03352  8.7696 0.0506 12.14787  1.47519  9.6186 0.1062 3.452
 12.08333  0.03473  8.7692 0.0506 12.18953  1.47458  9.6186 0.1062 3.449
 12.12500  0.03593  8.7688 0.0506 12.23120  1.47396  9.6186 0.1062 3.445
 12.16667  0.03714  8.7684 0.0506 12.27286  1.47334  9.6186 0.1062 3.441
 12.20833  0.03835  8.7680 0.0506 12.31452  1.47273  9.6186 0.1062 3.438
 12.25000  0.03956  8.7676 0.0506 12.35619  1.47211  9.6186 0.1062 3.434
 12.29167  0.04077  8.7672 0.0506 12.39786  1.47150  9.6186 0.1062 3.430
 12.33333  0.04198  8.7668 0.0506 12.43952  1.47088  9.6186 0.1062 3.427
 12.37500  0.04319  8.7665 0.0506 12.48118  1.47027  9.6185 0.1062 3.423
 12.41667  0.04441  8.7661 0.0506 12.52285  1.46965  9.6185 0.1062 3.419
 12.45833  0.04562  8.7657 0.0506 12.56451  1.46904  9.6185 0.1062 3.415
 12.50000  0.04683  8.7653 0.0506 12.60618  1.46842  9.6185 0.1062 3.412
 12.54167  0.04805  8.7649 0.0506 12.64784  1.46781  9.6185 0.1062 3.408
