day = date of observation for earth crossing (decimal days)
Be = sub-earth latitude on ring plane (= 0 at RPX)
delta2 = Saturn-earth distance (au)
owlt = one way light time, Saturn-earth (days)

day = date of observation for sun crossing
Bs = sub-solar latitude on ring plane (= 0 at solar RPX)
delta1 = Sun-Saturn distance
twlt = two-way light time, sun-Saturn-earth (days)
phase = sun-Saturn-earth phase angle (deg).

The two 'day' columns are because of the differing treatment
of light time in the two cases. The two sets of entries could
be re-interpolated to a common time scale. Note that they differ
by exactly twlt.
------------------------------------------------------------------------
 Rpx2000.out: 1996 Feb            
   Pole: French etal 1993    

  JD 2450123.5: RA =  40.58613 DEC =  83.53714 (J2000)
    (includes pole offset =    0.00   0.00 arcsec)

    day       Be    delta2   owlt    day       Bs    delta1   twlt phase

 10.00000  0.10596 10.3825 0.0600 10.11521 -1.23012  9.5660 0.1152 3.185
 10.04167  0.10374 10.3828 0.0600 10.15688 -1.23075  9.5660 0.1152 3.182
 10.08333  0.10153 10.3832 0.0600 10.19855 -1.23137  9.5660 0.1152 3.179
 10.12500  0.09931 10.3836 0.0600 10.24022 -1.23199  9.5660 0.1152 3.176
 10.16667  0.09709 10.3839 0.0600 10.28189 -1.23261  9.5660 0.1152 3.172
 10.20833  0.09487 10.3843 0.0600 10.32355 -1.23324  9.5660 0.1152 3.169
 10.25000  0.09266 10.3847 0.0600 10.36523 -1.23386  9.5660 0.1152 3.166
 10.29167  0.09044 10.3850 0.0600 10.40690 -1.23448  9.5660 0.1152 3.163
 10.33333  0.08822 10.3854 0.0600 10.44856 -1.23510  9.5659 0.1152 3.159
 10.37500  0.08600 10.3858 0.0600 10.49023 -1.23573  9.5659 0.1152 3.156
 10.41667  0.08378 10.3862 0.0600 10.53190 -1.23635  9.5659 0.1152 3.153
 10.45833  0.08156 10.3865 0.0600 10.57357 -1.23697  9.5659 0.1152 3.150
 10.50000  0.07933 10.3869 0.0600 10.61524 -1.23760  9.5659 0.1152 3.147
 10.54167  0.07711 10.3873 0.0600 10.65691 -1.23822  9.5659 0.1152 3.143
 10.58333  0.07489 10.3876 0.0600 10.69857 -1.23884  9.5659 0.1152 3.140
 10.62500  0.07267 10.3880 0.0600 10.74024 -1.23946  9.5659 0.1152 3.137
 10.66667  0.07044 10.3884 0.0600 10.78192 -1.24009  9.5658 0.1152 3.134
 10.70833  0.06822 10.3887 0.0600 10.82358 -1.24071  9.5658 0.1152 3.130
 10.75000  0.06599 10.3891 0.0600 10.86525 -1.24133  9.5658 0.1152 3.127
 10.79167  0.06377 10.3895 0.0600 10.90692 -1.24195  9.5658 0.1153 3.124
 10.83333  0.06154 10.3898 0.0600 10.94858 -1.24258  9.5658 0.1153 3.121
 10.87500  0.05932 10.3902 0.0600 10.99026 -1.24320  9.5658 0.1153 3.117
 10.91667  0.05709 10.3905 0.0600 11.03193 -1.24382  9.5658 0.1153 3.114
 10.95833  0.05486 10.3909 0.0600 11.07359 -1.24444  9.5658 0.1153 3.111
 11.00000  0.05264 10.3913 0.0600 11.11526 -1.24507  9.5657 0.1153 3.107
 11.04167  0.05041 10.3916 0.0600 11.15693 -1.24569  9.5657 0.1153 3.104
 11.08333  0.04818 10.3920 0.0600 11.19860 -1.24631  9.5657 0.1153 3.101
 11.12500  0.04595 10.3924 0.0600 11.24027 -1.24694  9.5657 0.1153 3.098
 11.16667  0.04372 10.3927 0.0600 11.28194 -1.24756  9.5657 0.1153 3.094
 11.20833  0.04149 10.3931 0.0600 11.32360 -1.24818  9.5657 0.1153 3.091
 11.25000  0.03926 10.3934 0.0600 11.36527 -1.24880  9.5657 0.1153 3.088
 11.29167  0.03703 10.3938 0.0600 11.40695 -1.24943  9.5657 0.1153 3.085
 11.33333  0.03480 10.3942 0.0600 11.44861 -1.25005  9.5656 0.1153 3.081
 11.37500  0.03257 10.3945 0.0600 11.49028 -1.25067  9.5656 0.1153 3.078
 11.41667  0.03034 10.3949 0.0600 11.53195 -1.25129  9.5656 0.1153 3.075
 11.45833  0.02810 10.3952 0.0600 11.57361 -1.25192  9.5656 0.1153 3.072
 11.50000  0.02587 10.3956 0.0600 11.61529 -1.25254  9.5656 0.1153 3.068
 11.54167  0.02364 10.3960 0.0600 11.65696 -1.25316  9.5656 0.1153 3.065
 11.58333  0.02140 10.3963 0.0600 11.69862 -1.25378  9.5656 0.1153 3.062
 11.62500  0.01917 10.3967 0.0600 11.74029 -1.25441  9.5656 0.1153 3.058
 11.66667  0.01693 10.3970 0.0600 11.78196 -1.25503  9.5656 0.1153 3.055
 11.70833  0.01470 10.3974 0.0601 11.82363 -1.25565  9.5655 0.1153 3.052
 11.75000  0.01246 10.3977 0.0601 11.86530 -1.25628  9.5655 0.1153 3.049
 11.79167  0.01022 10.3981 0.0601 11.90697 -1.25690  9.5655 0.1153 3.045
 11.83333  0.00799 10.3984 0.0601 11.94863 -1.25752  9.5655 0.1153 3.042
 11.87500  0.00575 10.3988 0.0601 11.99030 -1.25814  9.5655 0.1153 3.039
 11.91667  0.00351 10.3992 0.0601 12.03198 -1.25877  9.5655 0.1153 3.035
 11.95833  0.00127 10.3995 0.0601 12.07364 -1.25939  9.5655 0.1153 3.032
 12.00000 -0.00097 10.3999 0.0601 12.11531 -1.26001  9.5655 0.1153 3.029
 12.04167 -0.00321 10.4002 0.0601 12.15698 -1.26063  9.5654 0.1153 3.026
 12.08333 -0.00545 10.4006 0.0601 12.19864 -1.26126  9.5654 0.1153 3.022
 12.12500 -0.00769 10.4009 0.0601 12.24032 -1.26188  9.5654 0.1153 3.019
 12.16667 -0.00993 10.4013 0.0601 12.28199 -1.26250  9.5654 0.1153 3.016
 12.20833 -0.01217 10.4016 0.0601 12.32365 -1.26313  9.5654 0.1153 3.012
 12.25000 -0.01441 10.4020 0.0601 12.36532 -1.26375  9.5654 0.1153 3.009
 12.29167 -0.01665 10.4023 0.0601 12.40699 -1.26437  9.5654 0.1153 3.006
 12.33333 -0.01890 10.4027 0.0601 12.44866 -1.26499  9.5654 0.1153 3.003
 12.37500 -0.02114 10.4030 0.0601 12.49033 -1.26562  9.5653 0.1153 2.999
 12.41667 -0.02338 10.4034 0.0601 12.53200 -1.26624  9.5653 0.1153 2.996
 12.45833 -0.02563 10.4037 0.0601 12.57366 -1.26686  9.5653 0.1153 2.993
 12.50000 -0.02787 10.4041 0.0601 12.61533 -1.26748  9.5653 0.1153 2.989
 12.54167 -0.03012 10.4044 0.0601 12.65701 -1.26811  9.5653 0.1153 2.986
 12.58333 -0.03236 10.4048 0.0601 12.69867 -1.26873  9.5653 0.1153 2.983
 12.62500 -0.03461 10.4051 0.0601 12.74034 -1.26935  9.5653 0.1153 2.979
 12.66667 -0.03685 10.4055 0.0601 12.78201 -1.26998  9.5653 0.1153 2.976
 12.70833 -0.03910 10.4058 0.0601 12.82367 -1.27060  9.5652 0.1153 2.973
 12.75000 -0.04135 10.4062 0.0601 12.86535 -1.27122  9.5652 0.1153 2.969
 12.79167 -0.04360 10.4065 0.0601 12.90702 -1.27184  9.5652 0.1153 2.966
 12.83333 -0.04584 10.4069 0.0601 12.94868 -1.27247  9.5652 0.1153 2.963
 12.87500 -0.04809 10.4072 0.0601 12.99035 -1.27309  9.5652 0.1154 2.960
 12.91667 -0.05034 10.4075 0.0601 13.03202 -1.27371  9.5652 0.1154 2.956
 12.95833 -0.05259 10.4079 0.0601 13.07368 -1.27433  9.5652 0.1154 2.953
 13.00000 -0.05484 10.4082 0.0601 13.11536 -1.27496  9.5652 0.1154 2.950
 13.04167 -0.05709 10.4086 0.0601 13.15703 -1.27558  9.5652 0.1154 2.946
 13.08333 -0.05934 10.4089 0.0601 13.19869 -1.27620  9.5651 0.1154 2.943
 13.12500 -0.06159 10.4093 0.0601 13.24036 -1.27683  9.5651 0.1154 2.940
 13.16667 -0.06385 10.4096 0.0601 13.28203 -1.27745  9.5651 0.1154 2.936
 13.20833 -0.06610 10.4099 0.0601 13.32370 -1.27807  9.5651 0.1154 2.933
 13.25000 -0.06835 10.4103 0.0601 13.36537 -1.27869  9.5651 0.1154 2.930
 13.29167 -0.07061 10.4106 0.0601 13.40704 -1.27932  9.5651 0.1154 2.926
 13.33333 -0.07286 10.4110 0.0601 13.44870 -1.27994  9.5651 0.1154 2.923
 13.37500 -0.07511 10.4113 0.0601 13.49037 -1.28056  9.5651 0.1154 2.920
 13.41667 -0.07737 10.4117 0.0601 13.53205 -1.28118  9.5650 0.1154 2.916
 13.45833 -0.07962 10.4120 0.0601 13.57371 -1.28181  9.5650 0.1154 2.913
