day = date of observation for earth crossing (decimal days)
Be = sub-earth latitude on ring plane (= 0 at RPX)
delta2 = Saturn-earth distance (au)
owlt = one way light time, Saturn-earth (days)

day = date of observation for sun crossing
Bs = sub-solar latitude on ring plane (= 0 at solar RPX)
delta1 = Sun-Saturn distance
twlt = two-way light time, sun-Saturn-earth (days)
phase = sun-Saturn-earth phase angle (deg).

The two 'day' columns are because of the differing treatment
of light time in the two cases. The two sets of entries could
be re-interpolated to a common time scale. Note that they differ
by exactly twlt.
------------------------------------------------------------------------
 Rpx2000.out: 1995 May            
   Pole: French etal 1993    

  JD 2449857.5: RA =  40.58658 DEC =  83.53718 (J2000)
    (includes pole offset =    0.00   0.00 arcsec)

    day       Be    delta2   owlt    day       Bs    delta1   twlt phase

 20.00000  0.06709 10.0165 0.0579 20.11354  2.71162  9.6426 0.1135 5.484
 20.04167  0.06580 10.0158 0.0578 20.15521  2.71101  9.6426 0.1135 5.485
 20.08333  0.06452 10.0152 0.0578 20.19686  2.71040  9.6426 0.1135 5.487
 20.12500  0.06323 10.0146 0.0578 20.23853  2.70979  9.6426 0.1135 5.489
 20.16667  0.06195 10.0139 0.0578 20.28020  2.70918  9.6426 0.1135 5.490
 20.20833  0.06067 10.0133 0.0578 20.32185  2.70857  9.6425 0.1135 5.492
 20.25000  0.05938 10.0127 0.0578 20.36352  2.70796  9.6425 0.1135 5.493
 20.29167  0.05810 10.0120 0.0578 20.40519  2.70734  9.6425 0.1135 5.495
 20.33333  0.05682 10.0114 0.0578 20.44684  2.70673  9.6425 0.1135 5.497
 20.37500  0.05554 10.0108 0.0578 20.48851  2.70612  9.6425 0.1135 5.498
 20.41667  0.05427 10.0102 0.0578 20.53017  2.70551  9.6425 0.1135 5.500
 20.45833  0.05299 10.0095 0.0578 20.57183  2.70490  9.6425 0.1135 5.502
 20.50000  0.05171 10.0089 0.0578 20.61350  2.70429  9.6425 0.1135 5.503
 20.54167  0.05044 10.0083 0.0578 20.65516  2.70368  9.6425 0.1135 5.505
 20.58333  0.04917 10.0076 0.0578 20.69682  2.70307  9.6424 0.1135 5.507
 20.62500  0.04789 10.0070 0.0578 20.73849  2.70246  9.6424 0.1135 5.508
 20.66667  0.04662 10.0064 0.0578 20.78015  2.70185  9.6424 0.1135 5.510
 20.70833  0.04535 10.0057 0.0578 20.82181  2.70124  9.6424 0.1135 5.512
 20.75000  0.04408 10.0051 0.0578 20.86347  2.70063  9.6424 0.1135 5.513
 20.79167  0.04282 10.0045 0.0578 20.90514  2.70002  9.6424 0.1135 5.515
 20.83333  0.04155 10.0038 0.0578 20.94680  2.69941  9.6424 0.1135 5.516
 20.87500  0.04029 10.0032 0.0578 20.98846  2.69880  9.6424 0.1135 5.518
 20.91667  0.03902 10.0025 0.0578 21.03013  2.69819  9.6423 0.1135 5.520
 20.95833  0.03776 10.0019 0.0578 21.07179  2.69758  9.6423 0.1135 5.521
 21.00000  0.03650 10.0013 0.0578 21.11345  2.69697  9.6423 0.1135 5.523
 21.04167  0.03523 10.0006 0.0578 21.15512  2.69636  9.6423 0.1134 5.525
 21.08333  0.03397 10.0000 0.0578 21.19677  2.69575  9.6423 0.1134 5.526
 21.12500  0.03272  9.9994 0.0578 21.23844  2.69514  9.6423 0.1134 5.528
 21.16667  0.03146  9.9987 0.0577 21.28011  2.69453  9.6423 0.1134 5.529
 21.20833  0.03020  9.9981 0.0577 21.32176  2.69392  9.6423 0.1134 5.531
 21.25000  0.02895  9.9975 0.0577 21.36343  2.69330  9.6422 0.1134 5.533
 21.29167  0.02769  9.9968 0.0577 21.40510  2.69269  9.6422 0.1134 5.534
 21.33333  0.02644  9.9962 0.0577 21.44675  2.69208  9.6422 0.1134 5.536
 21.37500  0.02519  9.9956 0.0577 21.48842  2.69147  9.6422 0.1134 5.537
 21.41667  0.02393  9.9949 0.0577 21.53008  2.69086  9.6422 0.1134 5.539
 21.45833  0.02268  9.9943 0.0577 21.57174  2.69025  9.6422 0.1134 5.541
 21.50000  0.02144  9.9936 0.0577 21.61341  2.68964  9.6422 0.1134 5.542
 21.54167  0.02019  9.9930 0.0577 21.65507  2.68903  9.6422 0.1134 5.544
 21.58333  0.01894  9.9924 0.0577 21.69673  2.68842  9.6422 0.1134 5.545
 21.62500  0.01770  9.9917 0.0577 21.73840  2.68781  9.6421 0.1134 5.547
 21.66667  0.01645  9.9911 0.0577 21.78006  2.68720  9.6421 0.1134 5.548
 21.70833  0.01521  9.9905 0.0577 21.82172  2.68659  9.6421 0.1134 5.550
 21.75000  0.01397  9.9898 0.0577 21.86338  2.68598  9.6421 0.1134 5.552
 21.79167  0.01272  9.9892 0.0577 21.90505  2.68537  9.6421 0.1134 5.553
 21.83333  0.01149  9.9885 0.0577 21.94671  2.68476  9.6421 0.1134 5.555
 21.87500  0.01025  9.9879 0.0577 21.98837  2.68415  9.6421 0.1134 5.556
 21.91667  0.00901  9.9873 0.0577 22.03004  2.68354  9.6421 0.1134 5.558
 21.95833  0.00777  9.9866 0.0577 22.07170  2.68293  9.6420 0.1134 5.559
 22.00000  0.00654  9.9860 0.0577 22.11336  2.68232  9.6420 0.1134 5.561
 22.04167  0.00530  9.9853 0.0577 22.15503  2.68171  9.6420 0.1134 5.563
 22.08333  0.00407  9.9847 0.0577 22.19668  2.68110  9.6420 0.1134 5.564
 22.12500  0.00284  9.9841 0.0577 22.23835  2.68048  9.6420 0.1134 5.566
 22.16667  0.00161  9.9834 0.0577 22.28002  2.67987  9.6420 0.1133 5.567
 22.20833  0.00038  9.9828 0.0577 22.32167  2.67926  9.6420 0.1133 5.569
 22.25000 -0.00085  9.9821 0.0577 22.36334  2.67865  9.6420 0.1133 5.570
 22.29167 -0.00208  9.9815 0.0576 22.40501  2.67804  9.6420 0.1133 5.572
 22.33333 -0.00331  9.9809 0.0576 22.44666  2.67743  9.6419 0.1133 5.573
 22.37500 -0.00453  9.9802 0.0576 22.48833  2.67682  9.6419 0.1133 5.575
 22.41667 -0.00576  9.9796 0.0576 22.52999  2.67621  9.6419 0.1133 5.576
 22.45833 -0.00698  9.9789 0.0576 22.57165  2.67560  9.6419 0.1133 5.578
 22.50000 -0.00820  9.9783 0.0576 22.61332  2.67499  9.6419 0.1133 5.580
 22.54167 -0.00942  9.9777 0.0576 22.65498  2.67438  9.6419 0.1133 5.581
 22.58333 -0.01064  9.9770 0.0576 22.69664  2.67377  9.6419 0.1133 5.583
 22.62500 -0.01186  9.9764 0.0576 22.73831  2.67316  9.6419 0.1133 5.584
 22.66667 -0.01308  9.9757 0.0576 22.77997  2.67255  9.6418 0.1133 5.586
 22.70833 -0.01429  9.9751 0.0576 22.82163  2.67194  9.6418 0.1133 5.587
 22.75000 -0.01551  9.9744 0.0576 22.86329  2.67133  9.6418 0.1133 5.589
 22.79167 -0.01672  9.9738 0.0576 22.90496  2.67072  9.6418 0.1133 5.590
 22.83333 -0.01794  9.9732 0.0576 22.94662  2.67011  9.6418 0.1133 5.592
 22.87500 -0.01915  9.9725 0.0576 22.98828  2.66949  9.6418 0.1133 5.593
 22.91667 -0.02036  9.9719 0.0576 23.02995  2.66888  9.6418 0.1133 5.595
 22.95833 -0.02157  9.9712 0.0576 23.07161  2.66827  9.6418 0.1133 5.596
 23.00000 -0.02278  9.9706 0.0576 23.11327  2.66766  9.6418 0.1133 5.598
 23.04167 -0.02399  9.9699 0.0576 23.15494  2.66705  9.6417 0.1133 5.599
 23.08333 -0.02519  9.9693 0.0576 23.19659  2.66644  9.6417 0.1133 5.601
 23.12500 -0.02640  9.9687 0.0576 23.23826  2.66583  9.6417 0.1133 5.602
 23.16667 -0.02760  9.9680 0.0576 23.27993  2.66522  9.6417 0.1133 5.604
 23.20833 -0.02880  9.9674 0.0576 23.32158  2.66461  9.6417 0.1133 5.605
 23.25000 -0.03000  9.9667 0.0576 23.36325  2.66400  9.6417 0.1132 5.607
 23.29167 -0.03121  9.9661 0.0576 23.40491  2.66339  9.6417 0.1132 5.608
 23.33333 -0.03240  9.9654 0.0576 23.44657  2.66278  9.6417 0.1132 5.610
 23.37500 -0.03360  9.9648 0.0576 23.48824  2.66217  9.6416 0.1132 5.611
 23.41667 -0.03480  9.9641 0.0575 23.52990  2.66156  9.6416 0.1132 5.613
 23.45833 -0.03600  9.9635 0.0575 23.57156  2.66095  9.6416 0.1132 5.614
 23.50000 -0.03719  9.9629 0.0575 23.61323  2.66034  9.6416 0.1132 5.616
 23.54167 -0.03838  9.9622 0.0575 23.65489  2.65973  9.6416 0.1132 5.617
